# /Bountyrent
#Commands.Players.Bountyrent.InHouseError:		       You have to be in your house to use this command!
#Commands.Players.Bountyrent.NoHouseError:		       You don't own a house!
Commands.Players.Bountyrent.AlreadyMaxMoney:            This house already has the maximum amount of money placed in the lockbox!
Commands.Players.Bountyrent.CmdUsage:                   1 bounty point currently converts to {0} copper. Use /bountyrent personal/guild <amount> to pay.
Commands.Players.Bountyrent.CorrectFormat:              Correct format is /bountyrent personal | guild <amount>
Commands.Players.Bountyrent.NotAHouseGuildLeader:       This house does not belong to a guild which you are guildmaster of!
#Apo: please replace "NotEnoughBp" with the correct english message
Commands.Players.Bountyrent.NotEnoughBp:                You don't have enough bounty points!
#Apo: please replace "NotEnoughGuildBp" with the correct english message
Commands.Players.Bountyrent.NotEnoughGuildBp:           Your guild don't have enough bounty points!
Commands.Players.Bountyrent.NoPayRentPerm:              You don't have permission to use /bountyrent here!
Commands.Players.Bountyrent.RangeOfAHouse:		       You must be in range of a house to use the /bountyrent command.
Commands.Players.Bountyrent.ToManyMoney:                That is more money than will fit in the lockbock! Deposit cancelled.
Commands.Players.Bountyrent.YouSpend:                   You spend {0} personal bounty points to pay for {1} gold pieces worth of rent.
Commands.Players.Bountyrent.YouSpendGuild:              You spend {0} guild bounty points to pay for {1} gold pieces worth of rent.
